,Price
2453,6500.0
3933,3850.0
528,13300.0
2786,2150.0
3203,6210.0
2661,3650.0
2816,7720.0
991,5100.0
3670,6500.0
942,5300.0
889,2000.0
2731,11750.0
3426,12250.0
2133,3800.0
1592,5500.0
1805,4250.0
3027,7950.0
322,3500.0
978,13750.0
1706,8000.0
975,12490.0
3515,10250.0
1284,2490.0
2338,5650.0
1224,7750.0
2381,7500.0
108,14000.0
1749,3550.0
596,5090.0
3753,2200.0
1101,12750.0
483,2900.0
2682,11000.0
1552,3750.0
3699,19750.0
2634,5900.0
2285,6550.0
3340,12000.0
1879,2440.0
3961,11500.0
985,5450.0
3715,3420.0
192,5750.0
2201,7500.0
2615,4800.0
2734,3300.0
279,1750.0
3820,3400.0
2141,2300.0
271,2200.0
3072,4930.0
3971,10500.0
2419,3550.0
3381,4000.0
981,3750.0
2123,5850.0
1071,4950.0
848,1950.0
2191,3400.0
2029,7250.0
1282,3250.0
573,2200.0
1986,17500.0
1264,7000.0
2695,6000.0
1399,6930.0
3157,2250.0
270,4350.0
1855,5630.0
2830,8500.0
471,5990.0
1343,6500.0
3768,8250.0
2735,2100.0
2625,3800.0
3227,4960.0
1433,3940.0
2366,4950.0
3278,4150.0
274,13500.0
1305,7900.0
3627,1250.0
2711,5760.0
2356,7740.0
2018,2650.0
1092,12010.0
2389,13000.0
3764,19750.0
2808,3850.0
795,3000.0
1135,8250.0
1782,3900.0
682,7550.0
2960,8900.0
3101,9580.0
3268,7990.0
1471,6100.0
1053,6250.0
3064,5100.0
874,13480.0
2986,1200.0
2714,6200.0
3987,3500.0
21,5360.0
65,3470.0
2090,8100.0
3363,5850.0
15,7500.0
2458,17250.0
4019,5900.0
250,6250.0
2463,4150.0
911,19400.0
957,4950.0
1132,4450.0
1290,7500.0
1286,2500.0
3729,5850.0
3165,1750.0
1520,12500.0
174,12500.0
1405,5500.0
2856,7220.0
2479,12250.0
1748,2500.0
924,5750.0
3260,3500.0
1722,5250.0
605,4850.0
977,9900.0
2289,6090.0
1355,5650.0
3083,2950.0
2759,16000.0
3459,1200.0
107,10000.0
3555,6200.0
2456,2950.0
3164,4450.0
3726,5900.0
3002,8000.0
2698,6710.0
1322,5410.0
3592,5500.0
798,9250.0
2000,4250.0
2526,4250.0
1503,7000.0
2965,4500.0
3879,2950.0
625,8370.0
3496,3550.0
2658,15500.0
575,5550.0
2774,11500.0
2058,6500.0
2214,7900.0
2539,2600.0
3492,7550.0
2561,6350.0
2218,8000.0
3319,11500.0
521,1850.0
3348,3100.0
3096,2050.0
2966,7750.0
1117,4450.0
3924,2950.0
64,6000.0
1340,6300.0
2105,8360.0
1978,990.0
858,3750.0
2154,2250.0
1438,13500.0
1482,3050.0
1033,2400.0
1204,7250.0
3991,12630.0
2980,5250.0
1842,7000.0
1432,5950.0
2221,6750.0
3584,6500.0
296,6450.0
3345,5500.0
1631,12500.0
2252,14500.0
902,5750.0
468,13750.0
3206,4440.0
3323,11990.0
3270,3900.0
3574,2250.0
1953,3900.0
2750,6250.0
464,3200.0
1948,5000.0
997,8990.0
14,13490.0
